0-1yr	X	CK	X	N	X	NS	X	NSM	X	NB	2-3yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB
	0.113208	0.121601	0.132678	0.129325	0.137755	0.272488	0.185567	0.350966	0.203774	0.102939		0.125	0.135721	0.177632	0.248068	0.0675	0.20272	0.087237	0.791404	0.092308	0.299506		0.233766	0.022527	0.073973	0.214422	0.104651	0.484239	0.082695	0.465723	0.07367	0.232819		0.350649	0.014309	0.072678	0.288081	0.100186	0.554577	0.071146	0.449769	0.070496	0.348729
	0.115304	0.121897	0.135135	0.129706	0.140306	0.26718	0.189003	0.341902	0.207547	0.099779		0.127315	0.136093	0.180921	0.2491	0.06875	0.202955	0.088853	0.78825	0.094017	0.300081		0.238095	0.022108	0.075342	0.214004	0.106589	0.478696	0.084227	0.466314	0.075034	0.233167		0.357143	0.014388	0.074024	0.288386	0.102041	0.550543	0.072464	0.445873	0.071802	0.349226
	0.1174	0.119785	0.137592	0.130089	0.142857	0.267996	0.19244	0.340452	0.211321	0.097051		0.12963	0.136467	0.184211	0.250139	0.07	0.203232	0.090468	0.784999	0.095726	0.296899		0.242424	0.020699	0.076712	0.210811	0.108527	0.475188	0.085758	0.467005	0.076398	0.229848		0.363636	0.014466	0.07537	0.288695	0.103896	0.551677	0.073781	0.446514	0.073107	0.348097
	0.119497	0.120078	0.140049	0.130474	0.145408	0.261828	0.195876	0.341951	0.215094	0.097551		0.131944	0.136817	0.1875	0.250987	0.07125	0.203509	0.092084	0.78357	0.097436	0.294613		0.246753	0.020501	0.078082	0.209439	0.110465	0.475092	0.087289	0.464266	0.077763	0.230193		0.37013	0.014704	0.076716	0.289121	0.105751	0.54935	0.075099	0.443319	0.074413	0.347039
	0.121593	0.120372	0.142506	0.13083	0.147959	0.262632	0.199313	0.343466	0.218868	0.098056		0.134259	0.137195	0.190789	0.252043	0.0725	0.203787	0.0937	0.781222	0.099145	0.29515		0.251082	0.020241	0.079452	0.2076	0.112403	0.47197	0.088821	0.462852	0.079127	0.23054		0.376623	0.014947	0.078062	0.289549	0.107607	0.544873	0.076416	0.443958	0.075718	0.345981
	0.12369	0.120668	0.144963	0.131114	0.15051	0.254317	0.202749	0.344861	0.222642	0.097947		0.136574	0.132391	0.194079	0.243465	0.07375	0.204066	0.095315	0.778506	0.100855	0.293214		0.255411	0.020389	0.080822	0.205464	0.114341	0.466649	0.090352	0.463067	0.080491	0.230886		0.383117	0.015033	0.079408	0.289978	0.109462	0.544243	0.077734	0.443239	0.077023	0.345738
	0.125786	0.118988	0.14742	0.126523	0.153061	0.255103	0.206186	0.344946	0.226415	0.098459		0.138889	0.126564	0.197368	0.244444	0.075	0.204346	0.096931	0.776004	0.102564	0.289086		0.25974	0.019058	0.082192	0.205552	0.116279	0.462618	0.091884	0.459045	0.081855	0.229545		0.38961	0.015287	0.080754	0.290405	0.111317	0.541624	0.079051	0.44388	0.078329	0.344817
	0.127883	0.114126	0.149877	0.126902	0.155612	0.255895	0.209622	0.346476	0.230189	0.093128		0.141204	0.126917	0.200658	0.245487	0.07625	0.204596	0.098546	0.773875	0.104274	0.289419		0.264069	0.019124	0.083562	0.205636	0.118217	0.458437	0.093415	0.458572	0.08322	0.229891		0.396104	0.015378	0.0821	0.290836	0.113173	0.540852	0.080369	0.444468	0.079634	0.344361
	0.129979	0.114409	0.152334	0.120522	0.158163	0.24729	0.213058	0.337897	0.233962	0.085437		0.143519	0.12727	0.203947	0.246538	0.0775	0.202856	0.100162	0.771586	0.105983	0.284825		0.268398	0.019266	0.084932	0.202885	0.120155	0.456515	0.094946	0.455628	0.084584	0.230239		0.402597	0.015467	0.083445	0.290628	0.115028	0.542003	0.081686	0.444289	0.08094	0.343681
	0.132075	0.114693	0.154791	0.119898	0.160714	0.238805	0.216495	0.32954	0.237736	0.085562		0.145833	0.122724	0.207237	0.247583	0.07875	0.203135	0.101777	0.770283	0.107692	0.281066		0.272727	0.019244	0.086301	0.203194	0.122093	0.453222	0.096478	0.452831	0.085948	0.23028		0.409091	0.014718	0.084791	0.291062	0.116883	0.53789	0.083004	0.444922	0.082245	0.344175
